"id","followers","genres","name","popularity"
"7gcCQIlkkfbul5Mt0jBQkg",18070,"['new wave pop', 'rock keyboard']","Dave Stewart",72
"4Y7fW86VPX4T4Ojio2fQCm",18510,"['canzone napoletana', 'classic italian pop']","Roberto Murolo",43
"56X4yBwPoibTkKAaQ8sTJQ",26387,"['kindermusik', 'kleine hoerspiel']","Pippi Langstrumpf",54
"5gP4aEL0OvBlxgvod5C8jL",628,"['filmi']","SUVI",42
"2m8SvIptPjJzhHvHiwzNW1",1364,"['disco polo']","Maxel",15
"5AUIOCOwfhbmaASDMPjvhw",60854,"['classic malaysian pop', 'malaysian indie', 'malaysian pop', 'rock kapak']","6ixth Sense",36
"3apNWJFN6ZANKwNvFK8An7",5372,"['latvian hip hop', 'latvian pop']","Gustavo",33
"7EzZtsaDuv0EecScnO7wrh",10317,"['show tunes']","Les Misérables-Original London Cast",42
"5eioJDe26lOqkAMbuhzZYs",1111942,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']","Gzuz",76
"7f5Zgnp2spUuuzKplmRkt7",2113634,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']","Lost Frequencies",77
"20p5D2KrE8CGuOjHtxsyTp",564435,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']","Fine Young Cannibals",62
"5RFBPz01PqvSQ1QhEgaxOp",31339,"['britpop', 'grebo', 'madchester']","Carter The Unstoppable Sex Machine",39
"0L8ExT028jH3ddEcZwqJJ5",15797256,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']","Red Hot Chili Peppers",85
"3YwqjMyrRfuixi2pbgTGCE",1008392,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']","Heuss L'enfoiré",71
"4Cfx9c45o8GigUIYzDie9B",76925,"['mundart', 'schweizer rap', 'swiss hip hop', 'swiss indie', 'swiss rock']","Patent Ochsner",51
"7IvfKO66wMWnKaZHh34IoU",194850,"['indonesian pop']","Pasto",55
"30mZFp2ER9EKa6IEEa37n6",1549,"['classic luk thung']","ม.ร.ว.ถนัดศรี สวัสดิวัตน์,...",18
"3e9uPILBisAWnkJQo8vzrZ",581,"['hoerspiel']","Wilhelm Hauff",33
"0YShtAhlsHimK6zc7NB2Ig",5977,"['progressive psytrance', 'trance mexicano']","Jiser",18
"4qKVhVoyPymnhT1XiXoTJy",53525,"['thai rock']","So Cool",35
"7LDDafwFTPDzeLj5mo59wk",168,"['string quartet']","Pro Arte Quartet",5
"1CSxyJBT3vZqJHwcTXAFHN",15,"[]","Gavin Murphy",2
"3VTm1513t2LL1mSKzzyQuj",328750,"['israeli pop']","Ishay Ribo",58
"5vexJiYP57rheW7TMBzi42",1573,"[]","St. John",29
"2ikrIhCYSKmzCgWb9EM3aT",6814,"['bubble trance']","Barthezz",41
"3DWbhNPz642SpTneSTHJv7",173064,"[]","Labh Janjua",52
"6TYO7HwuSjDxjnzZaj8dPO",142,"[]","Chicago Express",15
"05E3NBxNMdnrPtxF9oraJm",107080,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'stride', 'swing', 'vocal jazz']","Lester Young",54
"42CAGAQqRqraxik8N80M3I",8,"[]","Ray Ellis & His Orchestra & Chorus",0
"22qynacaVX8ZxSwS2uTJkX",18621,"['danseband', 'norwegian country', 'norwegian pop']","Gunslingers",50
"1URnnhqYAYcrqrcwql10ft",9478827,"['atl hip hop', 'rap', 'trap']","21 Savage",87
"1OCf7YWasTuPUXrmQhN6wd",1457,"['rebetiko']","Stella Haskil",22
"7m9RH1V73dYjGv8RgGP39c",308221,"['russian alt pop', 'russian hip hop', 'russian indie']","алёна швец.",62
"54yTyDO1apnZCHwxrrPmwa",226,"[]","DJ Løv",36
"4F0b9Cx0VIVVOLFgehonr6",33386,"['narodna muzika', 'sevdah', 'turbo folk']","Halid Bešlić",48
"2mW6XkUY0DKBZFulxZ3M3E",24295,"['classic luk thung', 'classic thai pop', 'luk thung']","Got Jakraphan",41
"5LZ894xYE9MG1sal0gjt5L",445759,"['bangla', 'desi pop', 'filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'modern bollywood']","Anupam Roy",54
"3UX79kbvgAEhCSbA8HVv7W",26830,"['anime score', 'otacore']","Kenzie Smith Piano",57
"2pm42ahOwMBST1vbdGqRAq",35614,"['folclore salteno', 'folklore argentino']","Canto 4",46
"0qv8of5go7MT97PHIrzoQH",10240,"['thai pop']","Lanna Commins",28
"4eb7QPyORtTxhMiLBo3YWK",13855,"['eurodance', 'hip house']","The Outhere Brothers",46
"41pdyfGuyQnEudG0jseanl",21909,"['classic finnish pop', 'classic finnish rock', 'classic iskelma', 'iskelma', 'suomi rock']","Rauli Badding Somerjoki",43
"5qQdzyIlYfzICKOVdb7XvY",43034,"['brazilian edm', 'trap brasileiro']","Samantha Machado",58
"4sTXPMY0WxaeBKN4HAXLIj",1250,"['boogaloo']","The Latinaires",23
"1Q2ifiLn6HWlRAlycDOsvk",30196,"['new age']","Oliver Shanti & Friends",46
"7gR53ad9JjCweCv4f9MWEX",298069,"['latin', 'latin hip hop', 'panamanian pop', 'reggaeton', 'tropical']","Eddy Lover",62
"4zf0kIjnzqjWlI3Eaw5VlA",184915,"['classic italian pop', 'italian adult pop']","Stadio",52
"6ipYA7s6QU7DKAVrYUChRx",1131,"[]","Adrina Thorpe",36
"3gNRdx3DyEnckHDCmVwwnY",118878,"['latin alternative', 'mexican rock', 'reggae en espanol', 'reggae mexicano', 'rock en espanol', 'ska mexicano']","Antidoping",47
"0ugRf6ECGBFRCHlv9iG1No",7451,"['cambridge choir', 'choral', 'classical organ', 'orchestral performance']","Stephen Cleobury",63
"7dGJo4pcD2V6oG8kP0tJRR",43747833,"['detroit hip hop', 'hip hop', 'rap']","Eminem",94
"3xmyGL7g6crcLsRy1TNOQU",35206,"['europop', 'italian disco']","Secret Service",48
"1sojChx5H9UtPIVnRgHDGz",34434,"['czech folk', 'czech indie', 'czech pop', 'czech punk', 'czech rock']","Vypsana Fixa",47
